Open,High,Low,Close,Adjusted_close,Volume
149.08,150.46,147.5003,150.39,147.1413,890015
149.98,150.63,149.26,149.52,146.2901,863496
150.38,151.545,149.43,150.58,147.3272,716760
151.86,153.38,151.53,152.82,149.5188,634145
152.89,153.91,152.08,153.37,150.0569,680086
153.12,155.16,153.02,154.22,150.8886,851995
154.89,156.28,154.39,156.21,152.8356,757739
157.0,157.12,155.31,156.49,153.1095,722784
156.64,157.1,155.67,156.31,152.9334,594431
156.31,157.94,155.48,157.74,154.3325,980352
157.58,159.38,157.33,158.9,155.4675,875590
157.98,160.48,157.66,158.72,155.2914,1290661
158.32,161.05,158.085,159.48,156.0349,1105048
159.25,162.2,158.81,160.84,157.3656,978525
161.51,162.33,159.83,159.9,156.4459,622662
160.16,161.05,159.77,160.64,157.1699,791328
160.77,163.29,160.4,162.58,159.06799999999998,1034556
162.5,162.78,159.94,159.97,156.5144,734058
160.16,162.27,160.16,162.09,158.5886,607971
161.74,161.74,159.43,159.44,155.9958,460668
158.85,160.8,158.71,159.71,156.26,1568677
159.43,160.23,158.21,159.28,155.8393,1133764
159.72,160.1,158.25,159.97,156.5144,912675
159.23,159.95,158.4,159.17,155.7316,698865
158.95,159.46,156.65,157.8,154.3912,1032153
157.4,159.83,156.96,158.74,155.3109,1328618
158.01,159.62,157.39,157.96,155.4093,1161785
158.73,158.9,156.32,156.36,153.8352,920522
156.98,159.03,156.07,158.9,156.3341,1225267
159.19,159.32,155.89,156.35,153.8253,1186731
156.78,157.82,155.705,157.58,155.0355,1401259
157.56,158.02,155.5,156.67,154.1401,1238283
156.59,157.84,155.65,156.29,153.7663,2654937
153.2,154.07,150.59,152.66,150.1949,1958027
153.19,154.22,151.681,152.97,150.4999,1212694
154.1,155.58,153.28,154.38,151.8871,1440770
155.57,157.365,155.46,156.02,153.5006,821862
155.97,156.78,155.48,156.46,153.9335,833645
157.69,158.15,156.17,156.29,153.7663,1106294
156.36,157.1173,153.18,153.49,151.0115,951285
152.87,155.625,152.29,154.88,152.3791,856806
155.52,156.35,151.98,152.01,149.5554,1095282
152.41,153.85,150.29,152.42,149.9588,1145600
151.31,153.65,150.255,151.38,148.9356,1310058
152.82,154.18,150.84,153.6,151.1197,1144470
152.7,155.15,150.5,155.09,152.5857,1200812
156.67,158.155,155.98,157.24,154.7009,1359626
157.35,158.45,156.37,157.33,154.7895,989856
157.3,158.74,156.18,156.23,153.7073,796916
156.12,158.09,155.52,156.48,153.9532,1401964
156.35,156.735,153.56,156.39,153.8647,1203692
156.64,157.83,156.07,156.69,154.1598,1346410
157.16,158.46,155.56,155.64,153.1268,1040363
154.42,154.695,152.16,152.88,150.4113,1599266
156.21,158.27,154.89,155.39,152.8808,2380202
155.81,159.5,155.66,158.69,156.1275,1548348
158.165,160.72,158.165,160.19,157.6033,1464616
160.89,163.155,160.8,162.37,159.7481,1362760
162.0,162.455,160.865,161.58,158.9709,1041198
161.77,162.42,160.36,160.43,157.8394,847661
160.74,162.11,159.73,159.78,157.1999,1217201
160.22,162.45,160.06,161.57,158.961,1260015
162.13,162.44,160.66,160.88,158.2822,1314132
161.25,162.37,159.065,160.11,157.5246,1077493
161.14,161.69,158.75,158.82,156.2554,994533
158.22,161.25,158.22,160.25,157.6623,1728731
160.25,160.37,156.12,156.5,153.9729,1526204
157.74,160.434,156.93,159.6,157.0228,1506205
160.21,160.88,158.61,158.7,156.1374,937369
158.12,159.0,157.27,157.4,154.8584,1000748
157.68,160.58,157.33,158.22,155.6651,910043
157.7,158.295,157.24,157.83,155.2814,856007
157.98,158.445,156.94,157.42,154.878,985929
158.01,159.09,157.38,158.06,155.5077,1169955
158.64,160.32,158.455,158.99,156.4227,1452228
158.55,158.55,156.16,156.42,153.8942,1594384
156.8,157.81,155.94,156.03,153.5105,2103785
155.21,155.37,152.47,152.53,150.067,1619790
153.11,158.10299999999998,152.18,156.87,154.3369,2021009
158.54,161.47,157.53,160.26,157.6722,1441772
160.17,160.81,158.86,158.97,156.403,1139745
154.4,155.13,151.56,153.66,151.1788,1262533
155.33,155.33,151.81,152.4,149.9391,1468068
150.52,150.98,146.54,146.95,144.5771,3522778
149.77,151.27,145.4,145.48,143.1308,1624929
146.7,150.77,146.27,150.16,147.7353,1413484
150.02,150.95,147.7,149.16,146.7514,1380493
150.43,153.02,150.34,151.82,149.3685,1717640
152.34,153.49,151.8,153.09,150.618,1175825
153.3,154.49,152.554,153.68,151.1984,1144780
152.68,154.4814,151.94,153.49,151.8812,1064721
154.52,154.81,153.36,154.25,152.6332,940201
154.39,154.46,152.47,153.18,151.5744,1106112
153.47,158.22,153.21,156.73,155.0872,2033200
156.84,159.06,155.35,158.37,156.71,1648919
160.03,163.0,159.09,162.02,160.3218,2574781
161.82,161.82,158.02,158.19,156.5319,3435122
156.29,156.44,151.97,153.53,151.9208,1811873
154.46,157.22,154.46,155.52,153.8899,1029794
155.48,156.04,154.46,154.69,153.0686,951678
154.99,156.18,154.49,154.65,153.029,1714985
154.51,156.1,153.4401,156.04,154.4045,655147
156.03,157.74,156.03,157.12,155.4731,914519
157.65,158.0,157.12,157.5,155.8492,683415
157.86,158.42,156.71,156.81,155.1664,420404
156.53,157.11,156.11,156.43,154.7904,682402
156.92,157.24,154.93,155.75,154.1175,1103442
157.55,160.36,157.21,159.0,157.3334,1684639
160.5,161.61,159.73,159.77,158.0954,1838469
163.23,163.28,161.72,162.33,160.6285,1390210
162.255,166.68,161.49,166.24,164.4976,1699659
167.62,168.31,162.93,164.06,162.3404,1142228
164.71,164.84,160.44,163.16,161.4498,1194256
163.33,164.18,162.025,162.97,161.2618,1060573
163.41,164.71,162.55,163.05,161.341,864962
162.51,163.51,161.19,163.21,161.4993,1263219
163.52,164.4,161.48,163.57,161.8555,1806713
164.73,164.73,160.07,160.07,158.3922,1466979
162.44,169.49,162.0,165.18,163.4487,2831866
165.33,167.08,162.26,162.61,160.9056,2190024
162.0,169.25,160.905,168.83,167.0604,3233798
168.59,169.5662,163.78,168.6,166.8328,2210394
168.34,169.49,166.32,167.86,166.1006,2194110
168.81,171.4637,164.6,165.66,163.9236,2161876
166.09,166.84,163.42,166.82,165.0715,1233479
164.88,166.34,163.73,166.18,164.4382,1404118
166.48,168.32,165.3546,167.99,166.2292,1290270
168.06,173.11,167.73,172.72,170.9096,1827619
173.2,173.825,171.79,172.07,170.2665,1280314
172.36,173.47,171.18,171.9,170.0982,1615880
171.69,172.56,169.23,171.33,169.5342,1635025
172.68,173.445,171.09,172.5,170.6919,2331541
173.05,174.26,172.245,172.73,170.9195,1512475
172.73,174.55,171.94,172.43,170.6227,1587074
171.69,173.9452,170.89,171.76,169.9597,1460284
172.71,173.39,168.8,170.77,168.9801,1673375
171.23,172.57,170.77,171.6,169.8014,1174794
170.9,173.18,170.83,172.27,170.4644,1224584
171.31,171.665,168.95,170.59,168.80200000000002,1126443
169.46,172.005,169.45,170.63,168.8415,1166355
170.62,172.0532,169.52,171.08,169.2868,1835928
171.61,172.97,170.02,170.14,168.3567,1374103
166.25,166.79,162.8,166.5,164.7548,2460895
167.44,173.49,167.05,173.44,171.6221,1508100
167.55,172.06,167.55,171.83,170.02900000000002,1866586
171.99,172.03,166.61,167.82,166.06099999999998,1677818
168.81,174.615,168.69,173.68,171.8596,1441749
173.76,174.9,172.01,173.6,171.7804,1170981
171.21,173.96,169.51,173.4,171.5825,1156801
171.81,172.66,169.74,169.79,168.0103,1394882
170.57,172.82,168.28,168.45,166.6844,1510317
170.87,172.95,170.41,171.37,170.4643,1358921
169.33,172.27,169.2,171.89,170.9816,1445853
173.59,175.95,173.44,173.73,172.8118,1391651
175.58,178.61,175.28,177.18,176.2436,1945565
178.24,180.6561,177.15,180.19,179.2377,1730555
180.66,181.17,176.68,179.29,178.3425,1923250
178.88,181.1,176.46,181.03,180.0733,1641899
180.48,180.48,177.275,180.31,179.3571,3953804
181.45,183.46,181.11,182.54,181.5753,1383929
183.87,184.4,181.455,182.7,181.7344,1423022
182.52,183.83,181.53,181.62,180.6601,937494
182.13,184.36,181.26,184.22,183.2464,959283
184.19,187.78,184.04,187.75,186.7577,855572
187.98,187.98,185.56,186.76,185.773,593645
187.6,187.61,182.7404,183.81,182.8386,1369874
183.76,185.57,183.075,185.55,184.5694,959088
185.96,186.52,182.71,182.73,181.7643,1178097
184.41,185.45,182.59,185.25,184.271,1079843
185.0,185.0,181.51,181.82,180.8591,1026170
182.45,184.59,180.95,181.39,180.4314,835425
180.31,183.96,180.22,182.58,181.6151,1021514
182.25,182.8,180.08,182.09,181.1277,874756
183.74,185.22,182.16,184.86,183.88299999999998,1120587
185.92,187.59,185.28,185.64,184.6589,1219475
184.55,187.02,184.41,184.94,183.9626,1116674
184.82,185.91,181.71,183.71,182.7391,847338
183.79,185.01,183.45,184.24,183.2663,992122
184.65,186.08,184.25,185.22,184.2411,1351629
182.1,183.5194,174.51,176.16,175.229,2750303
176.9,177.99,174.17,177.71,176.7708,2340253
179.38,179.77,175.96,176.26,175.3285,1846797
175.75,175.75,172.91,173.11,172.1951,1541449
172.45,174.94,170.63,174.44,173.5181,1502559
173.83,175.792,172.59,172.66,171.7475,1807138
173.84,174.96,171.635,173.55,172.6328,1827528
175.0,175.0,172.18,174.5,173.5778,1021841
173.94,174.25,170.66,171.06,170.1559,1329693
171.47,172.45,167.64,170.09,169.1911,1496615
170.17,173.39,170.03,171.76,170.8522,1077553
171.64,175.56,171.44,175.45,174.5227,1474134
175.43,175.43,170.96,172.01,171.1009,1486395
172.63,172.63,170.185,171.64,170.7329,1216662
170.93,173.56099999999998,170.44,171.92,171.0114,2043459
173.21,175.28,171.44,172.99,172.0757,1468332
173.05,175.57,172.3,172.38,171.46900000000002,1169973
173.41,173.66,171.225,173.37,172.4537,1315268
173.71,174.23,171.37,172.78,171.8669,1189660
173.0,175.53,172.84,174.5,173.5778,1259036
175.49,177.6286,174.27,177.39,176.4525,1300907
176.82,177.11,173.95,174.32,173.3987,1094283
172.93,173.5,167.33900000000003,169.3,168.4053,1110871
169.59,170.34,166.31,168.24,167.3509,1959723
170.25,172.845,168.96,172.1,171.1905,1453761
172.22,174.27,169.16,173.91,172.9909,1008145
172.39,174.185,172.39,173.59,172.6726,1192305
174.32,175.49,173.81,174.87,173.9458,943140
174.98,177.85,174.06,177.83,176.8902,943529
177.11,179.96,175.75,179.04,178.0938,1948403
178.03,178.7,174.99,176.29,175.3583,1084576
176.94,178.199,173.82,178.06,177.11900000000003,868890
175.46,176.89,173.69,174.19,173.2694,1141152
175.07,177.41,174.28,176.98,176.0447,753333
176.76,178.73,175.67,178.64,177.6959,944519
177.55,178.11,175.32,175.97,175.04,669692
175.9,175.9,171.46,171.53,171.53,809729
168.95,170.81,168.08,169.3,169.3,1181965
167.12,171.125,166.79,167.71,167.71,1784768
169.05,169.32,165.05,166.31,166.31,1318775
167.5,168.96,163.56,165.54,165.54,1374646
163.26,163.66,160.87,161.38,161.38,1451106
161.04,162.59,160.24,161.88,161.88,2366792
164.73,164.73,161.25,162.63,162.63,1136878
160.87,164.37400000000002,160.35,163.15,163.15,997332
162.76,163.78,158.35,159.77,159.77,1278651
160.25,167.085,160.25,166.72,166.72,1296795
167.33,168.23,166.38,167.49,167.49,762132
168.43,170.645,167.42,167.47,167.47,1061739
167.98,168.45,165.53,165.8,165.8,719783
164.61,169.5,163.66,169.13,169.13,1336100
168.82,171.96,167.45,171.18,171.18,1033561
169.02,169.02,163.93,167.2,167.2,1028050
166.78,171.35,166.705,169.9,169.9,1366778
172.0,173.21,169.42,169.63,169.63,1155052
170.34,171.12,168.92,169.0,169.0,689869
168.13,170.42,168.09,168.52,168.52,883144
167.18,169.09,164.79,165.28,165.28,1032133
164.41,165.48,162.77,163.32,163.32,1022300
159.39,160.025,155.31,155.68,155.68,1654529
157.13,158.12,155.5101,156.18,156.18,1561978
157.24,157.905,154.565,154.99,154.99,1098027
156.36,158.58,155.82,158.35,158.35,1288252
158.43,158.63,156.36,158.2,158.2,1271755
157.18,159.4,152.17,156.83,156.83,2080777
157.14,158.2099,155.48,156.42,156.42,880992
158.49,160.51,157.57,159.98,159.98,1176360
159.76,160.96,159.33,160.86,160.86,1107482
161.32,161.66,157.26,158.96,158.96,1456404
158.65,158.89,152.11,155.74,155.74,1458797
156.05,158.88,156.05,158.7,158.7,1361114
157.93,158.19,155.15,156.27,156.27,1263324
156.62,159.65,155.99,156.71,156.71,1656940
