,User,Tweet
157,plmitchell99,".@Travelers.@exxonmobil GREEDY IMMORAL CEOs!
You support J.D. Vance in Ohio -- among other corrupt lying MAGAts!  Think about what the hell you are doing before you put more truly awful people in Congress!
Is it ONLY and ALWAYS about profit? Disgraceful."
158,TonyS1234,"@Travelers Your company increased my home owners insurance claiming ""HOME INSPECTIONS RESULTS"".  They cited 3 items in the report which were fake. I Called CS twice and got the runaround. What can be done to correct the situation?"
159,SMWesterly,"Make sure your home is secure before your next get-away, with helpful tips from @byrnesagency and @Travelers. #vacation #Security #home #BePrepared https://t.co/jeuYOBHhkC"
160,Mariamarinkovi7,RT @Travelers: You found the #theperfectmatch. Now let’s find the perfect coverage for your special day: https://t.co/Gd9MFbXpmg https://t.…
161,GirlsWhoCode,@Travelers Thank you so much for your continuous support. Your mentorship means the world to our students. 💜
162,walkerpooleins,"RT @Travelers: With high temperatures forecasted throughout the U.S. this week, here are some tips to help you stay safe: https://t.co/hWkH…"
163,saragraz,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/ID9GCgI2hr"
164,InsuranceOff1ce,"RT @Travelers: With high temperatures forecasted throughout the U.S. this week, here are some tips to help you stay safe: https://t.co/hWkH…"
165,GarrityIns,RT @Travelers: Now is the perfect time to consider the best insurance solution to protect your #smallbusiness. Our Business Owner’s Policy…
166,bender_hatch,RT @Travelers: #Construction workers can be at risk for serious injury from lifting on the job. Reducing material handling through smart la…
167,keripickett,"RT @RiseWithTheSea: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the clima…"
168,constellationr,"Did you see the new #ESG50? Yafit Cohn @Travelers, @mary_draves @DowNewsroom, Sunny Elebua @Exelon, Leyla Ertur @hmusa, Sheri Flies @Costco, Paulette Frank @JNJNews, @MikeNFraser @SchneiderElec, Deb Geyer @StanleyBlkDeckr https://t.co/EmjXEQmofo #ESG https://t.co/zxpirgFZLj"
169,ValuePrinciple,"@Allstate @GEICO @StateFarm @progressive @WeAreFarmers @Nationwide @LibertyMutual
@Travelers

I know we ALL ""wear"" Seatbelts on AIRPLANES...

But...how does Insurance work...

If we get into a Fender Bender at say...20,000ft...

BUT...it's only a Quarter Panel and Bumper!? https://t.co/3CrwdpJUfg"
170,Jan62621277,@Travelers @GirlsWhoCode Girls who code… do you know Travelers supports JD Vance? JD Vance says women in violent relationships should stay in that relationship. Disgusting
171,Jan62621277,@Travelers @GirlsWhoCode Travelers shame on you for support JD Vance
172,Jan62621277,@Travelers @GirlsWhoCode Travelers supports a woman hater JD Vance
173,eeeverywhere,"RT @theArt_of_hair: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the clima…"
174,ExactlyCharley,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
175,9pandora,"@Specneedsmom4 @Travelers Change insurers, if possible. Tell them why. Direct it to the highest officer."
176,DianeHerczeg1,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
177,whiteknuckled,@streetprojdoc @JimRockaway @ChampPR @JeffSpeckFAICP @34_ave @PeterNorton12 @colvilleandersn @3M @Travelers @TransAlt Kudos! Everyone at @SmartGrowthUSA and @completestreets can't wait to see it.
178,BestCompanyUSA,@JerryCantrell19 Thanks for sharing your @Travelers review!
179,krista_leia,@FolkardSimon @InsOurFuture @AIGinsurance @Chubb @Travelers @StopMoneyPipe Emails sent
180,Insure_Future,"RT @theArt_of_hair: New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the clima…"
181,mojganlefebvre,"I’m proud of the ongoing partnership between @Travelers and @GirlsWhoCode, which helps build the future pipeline of talent and career pathways for young women. I’m also grateful to be part of a company that continuously inspires #WomenInTech. https://t.co/2ELyPfe08b"
182,JudyB1313,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
183,Srk1951mn,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
184,jnatelle,"RT @GirlsWhoCode: Glass ceilings are meant to be broken. We believe our girls can do anything.  Luckily, we can always count on our partner…"
185,somervilleny,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
186,wandaessler3,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
187,techadvisors,We think this event would be perfect for you! https://t.co/koioQdezQq @Holland_Knight @Travelers @GrowthCorp @RESULTSTechKS @IBTApps @PlanteMoran @MainStreetInc @integrityts @Haberfeld @BHGfinancial https://t.co/QFeHSaKkUA
188,somuchtodo2,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
189,schheng1,"RT @GirlsWhoCode: Glass ceilings are meant to be broken. We believe our girls can do anything.  Luckily, we can always count on our partner…"
190,TanagerScarlett,@Travelers THIS!!! https://t.co/eByFpTGuO1
191,SFCDInstitute,"RT @GirlsWhoCode: Glass ceilings are meant to be broken. We believe our girls can do anything.  Luckily, we can always count on our partner…"
192,theArt_of_hair,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/ZFCeoVZj3r"
193,janelainewylie,"RT @GirlsWhoCode: Glass ceilings are meant to be broken. We believe our girls can do anything.  Luckily, we can always count on our partner…"
194,GirlsWhoCode,"Glass ceilings are meant to be broken. We believe our girls can do anything.  Luckily, we can always count on our partner @Travelers to support our students and help us close the gender gap in tech. #PartnerOfTheDay"
195,Mariamarinkovi7,RT @Travelers: #Construction workers can be at risk for serious injury from lifting on the job. Reducing material handling through smart la…
196,CarlMGrant1,RT @Travelers: #Construction workers can be at risk for serious injury from lifting on the job. Reducing material handling through smart la…
197,taichi265,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
198,HansertLinda,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
199,addresstupidity,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
200,MariBowen15,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
201,Melinda15858273,@Specneedsmom4 @Travelers Travelers #DoBetter ask for your money back. You should not be supporting extremists
202,Melinda15858273,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
203,Miss_Placed_,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
204,theArt_of_hair,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/ZFCeoVHIbT"
205,IckkiKing,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
206,PeterKHanse,@mariagaani51 @wearemerelyants She also said she would sign prenup. She did not want the $$ and pledged the divorce proceeds and never finished the pledge even when @Travelers paid her legal bills.
207,TOMMY94560065,"@danblock4 How much did Elaine Bredehoft charge @Travelers for her daughter to sit around all day taking screen shots of Twitter accounts?

The #OverUsedFlappyFishMarket wasn't worth it.

#JohnnyDeppIsALegend"
208,Jan62621277,@Travelers @BusInsMagazine Shame on Travelers for supporting JD Vance-
209,Henni30432915,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
210,mpaps282,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
211,MeMac5005,@Travelers I was hit by a careless driver and am being held liable just because the person “didn’t have to yield bc they didn’t have a stop sign.” Submitted a video of them hitting me. I’m getting treated very poorly by the representative AND the supervisor. Please help!
212,Joey301Thomas,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
213,Barking52731887,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
214,MaryBethMegan1,"RT @Specneedsmom4: Really disappointed to learn that the insurance, @Travelers, that I've had for over 20yrs supports JD Vance and his talk…"
215,MeckeringBoy,RT @Insure_Future: 1/5 NEW: Analysis finds that top North American fossil fuel insurers have invested nearly $60 BILLION into #ClimateChaos…
216,imam_rachman_,"Plis Banget Deh, Penumpang Kaya Gini Sering Bikin Pesawat Delay  https://t.co/iYmstsNfu8 @kemenhub151 @BudiKaryaS @djpu151 @LintasAngkasaTC @pramugari_ID @YLKI_ID @Travelers @ikatanpilotindo @CurugPPI @Jinan_JKT48 @MutiaraSyafrina @Aline_Dh1510 @surya_darma @saidi_rfp @08Biyan"
217,Byecheeto,RT @spottedcatbelly: @MitchAmsterNYC @ProjectLincoln @Travelers @JDVance1 Is this true @Travelers ? Our home insurance is through you and i…
218,Byecheeto,RT @MitchAmsterNYC: @ProjectLincoln @Travelers supports @JDVance1 Don’t ever let them off the hook for that. Do any women work at @Traveler…
219,spottedquoll,RT @Insure_Future: 1/5 NEW: Analysis finds that top North American fossil fuel insurers have invested nearly $60 BILLION into #ClimateChaos…
220,theecohapa,@jiffylube I will do whatever it takes for you to take accountability. The way you treat your customers is not okay. I take excellent care of my car and my mechanic confirmed the cause was a sloppy oil change job. @Travelers it was your adjuster who hung up on me. Be better.
221,CCAG,"RT @Insure_Future: You can add insurers like @Travelers, @LibertyMutual and @TheHartford to this list! 😤"
222,misueu1,@TOMMY94560065 @MarlowNYC @LauraBockov @aburkhartlaw @Travelers That joke of journalist knows nothing about the trial. The level of the daily beast
223,soulmte,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/OhyTeS4aWj"
224,soulmte,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/OhyTeS4aWj"
225,GHFerdinand,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/Kjq6eglhuo"
226,TOMMY94560065,"@LauraBockov @fishyfishfry @PartakeAndMake If this is true https://t.co/tryJSO6YPf @LauraBockov good luck to New York Marine General Insurance Company getting a summons to Amber Heard 😀 or @Travelers getting her cooperation. 

#UnsealedDocuments"
227,klaushfrohlich,RT @Insure_Future: 1/5 NEW: Analysis finds that top North American fossil fuel insurers have invested nearly $60 BILLION into #ClimateChaos…
228,LisaSaponaroPhD,@Travelers Will it protect you from an abusive marriage? Doubtful and shameful that @travelers supports @JDVance1 and his backwards beliefs that women in marriages characterized by domestic violence should bite the bullet and stay #MentalHealthMatters #DomesticViolence
229,LisaSaponaroPhD,@Travelers Cancelled my small business policy yesterday after learning you support @JDVance1 and his misogynistic views
230,AllanSeymour1,RT @Insure_Future: 1/5 NEW: Analysis finds that top North American fossil fuel insurers have invested nearly $60 BILLION into #ClimateChaos…
231,MSweeters,"RT @Insure_Future: You can add insurers like @Travelers, @LibertyMutual and @TheHartford to this list! 😤"
232,marty_bostic,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/wgG2wexwLL"
233,PeterKHanse,@MarlowNYC She did not pay for her lawyer cost it was @Travelers who paid the bills. So not sure if she is broke or just saying she pledged her $$.
234,LauraBockov,@TOMMY94560065 @GenevieDEPP @MarlowNYC @aburkhartlaw @Travelers Blocked. Of course
235,GenevieDEPP,"RT @TOMMY94560065: @MarlowNYC @LauraBockov @aburkhartlaw  can you ladies team up to decipher this Tweet by @MarlowNYC 

Is he mocking the 8…"
236,TOMMY94560065,"@MarlowNYC @LauraBockov @aburkhartlaw  can you ladies team up to decipher this Tweet by @MarlowNYC 

Is he mocking the 8 million @Travelers paid Amber Heard's shitty lawyers 
https://t.co/4GhUT6YFaR or does he not know Heard scammed two insurance companies for coverages and still lost 😂"
237,caringfornature,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/hJX8gRteIU"
238,AshleyG26377360,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/ijaN53liyk"
239,Rosove,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/xpibYQaVg2"
240,helendhuman,"RT @Insure_Future: You can add insurers like @Travelers, @LibertyMutual and @TheHartford to this list! 😤"
241,tomswan,"RT @Insure_Future: You can add insurers like @Travelers, @LibertyMutual and @TheHartford to this list! 😤"
242,CEOmama,"@travelers As a customer, I just want to let you know that @safelite is the worst provider in history &amp; you shouldn’t be giving them any of your business. Never will I ever use @safelite again. I can go get a leaking windshield somewhere else."
243,Insure_Future,"You can add insurers like @Travelers, @LibertyMutual and @TheHartford to this list! 😤 https://t.co/d5AOaGvOfN"
244,LisaSaponaroPhD,@Travelers you and @JDVancePress may not understand the trauma of domestic violence but #MentalHealthMatters -  I’m canceling my policy today and moving to @TheHartford
245,TOMMY94560065,"@LauraBockov Awww, it's not enough @LauraBockov for them to have certified mailed to her accounts address on file? Surely @Travelers know where she is. Maybe a little professional courtesy helping NYMG locate her 😂 Is Barlow on the run with Amber Heard or has her family held an intervention?"
246,GloriaWeiss20,"RT @StopMoneyPipe: New report from @Insure_Future shows insurance companies are investing billions of $$ in fossil fuels, profiting off the…"
247,EventProtector,"The Protector Plan for Events, underwritten by @Travelers, is excited about our redesigned website and new brand as it truly represents our  mission of providing premier #privateeventinsurance for life’s biggest celebrations. Learn more: https://t.co/tSzJEw8Fcz #ProtectYourEvent https://t.co/cmlHHXG0E9"
248,WedProtector,"#Somethingnew represents hope and optimism for the future. The #WeddingProtectorPlan is excited to announce our new website and new branding! Look to the future and visit our new website to see our something new: https://t.co/7WZe1s9w8Y 
#ProtectYourWedding  @Travelers https://t.co/ArFLvVHMwO"
249,CCAG,RT @AdotGad: Hey @Travelers it’s time for a policy saying NO to working with any oil or gas company who wants to drill in the Arctic- do it…
250,VenicePandaMom,"Wait what ?!!?! 🌧️💦⛈️🥀  Guess they forgot to use the marine wood sealer!🤦🏻‍♀️🤦🏽🤦🏾‍♂️  Was it @Travelers insurance with the umbrella☂️ logo???
🤣🤣🤣🤣🤣 https://t.co/rLpq6V7kR1"
251,AllmondRobin,RT @spottedcatbelly: @MitchAmsterNYC @ProjectLincoln @Travelers @JDVance1 Is this true @Travelers ? Our home insurance is through you and i…
252,TOMMY94560065,"@MarlowNYC @thedailybeast will @MarlowNYC be following up his ""Dirty Tricks"" article with any actual facts? Such as Amber Heard lied under oath she couldn't pay charity obligations because lawsuit 13 months after divorce settlement although @Travelers paid her 8 million defense? 
#unsealed"
253,LadyBruce1,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/kaZEBOwgxs"
254,LadyBruce1,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/kaZEBOwgxs"
255,biota1513,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/5LSHkHQy7v"
256,HariharMohan,"@Travelers 07/29/2022 BREAKING (BOSTON): A Criminal Civil Rights Complaint has been officially filed with the US Department of Justice (DOJ) against RECUSED US District Court Judge - Hon. Allison Dale Burroughs.
https://t.co/3mnxonkBnw"
257,Bess577986701,"Ladies, boycott misogynistic companies like @exxonmobil, @Travelers, @APIenergy, @Phillips66Co, and @generaldynamics. Women have the buying power and women can shut them down. https://t.co/OosGD8bIuY"
258,imam_rachman_,Batik Air Tujuan Makassar Gagal Take Off di Bandara Soekarno-Hatta https://t.co/FJUaYmu6IO @kemenhub151 @BudiKaryaS @djpu151 @AngkasaPura_2 @mawaluddin @LintasAngkasaTC @BatikAirINA @CGK_AP2 @pramugari_ID @YLKI_ID @AirNav_Official @AlanaMakawi @Travelers  @mas_didiek @KNKT_RI
259,Roses4noses,"RT @KeithDobermann: Thank you, @NicolleDWallace &amp; @DeadlineWH.

Do @JDVance1’s donors also believe that women should stay in violent marria…"
260,jenafa24,@Travelers Now is the time for you to resend backing Josh Hawley. Every single woman in America will not vote for him or use your insurance unless you do.
261,lmcmd,@NicolleDWallace @paula_span @Travelers - shame on your company for supporting JD Vance who thinks women should stay and suffer abuse in a marriage.
262,ElaineActivism,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/haS1ovErTG"
263,VanDerSchwein,"@NicolleDWallace Oh, i might have to get rid of my @Travelers policies now. This is no bueno."
264,ramblingofdiane,"Hey @Travelers you are not my insurance company could you stop trying to take money from me, I never bought the car you are charging me $207 for and everything was canceled. Such a headache. @GEICO never does this to me."
265,Richy23940831,"@POTUS New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/L5xOyvgC80 https://t.co/y7P5HYiNft"
266,SusanGr08034467,@Travelers why do you support this monster? https://t.co/ngZZQk8Cvd
267,tiniest_bean,@NicolleDWallace Cool. Looks like I’m dropping @Travelers 👋🏻
268,andrea_gorgea,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/l3bygOttZY"
269,dlrobinson49,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/fR69ya14rq IMHO:=ECOCIDE"
270,dlrobinson49,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/fR69ya14rq"
271,dmq1229,@KeithDobermann @NicolleDWallace @DeadlineWH @JDVance1 @APIenergy @exxonmobil @generaldynamics @Franchising411 @NAWorg @KochIndustries @Phillips66Co @MarathonPetroCo @Travelers Wld be great to see @CNBC @SquawkCNBC @CNBCFastMoney @MelissaLeeCNBC @carlquintanilla @andrewrsorkin @WSJbusiness @BloombergTV interview these CEOs on why they donate to politicians who demean women with such stmts
272,amanwholived,"RT @KeithDobermann: Thank you, @NicolleDWallace &amp; @DeadlineWH.

Do @JDVance1’s donors also believe that women should stay in violent marria…"
273,re3073,@KeithDobermann @NicolleDWallace @DeadlineWH @JDVance1 @APIenergy @exxonmobil @generaldynamics @Franchising411 @NAWorg @KochIndustries @Phillips66Co @MarathonPetroCo @Travelers I will never do business with any of these companies.
274,re3073,"RT @KeithDobermann: Thank you, @NicolleDWallace &amp; @DeadlineWH.

Do @JDVance1’s donors also believe that women should stay in violent marria…"
275,adventurouskate,People often ask me where to get their travel insurance. One to avoid at all costs is @Travelers. They throw money at the sickest of political candidates. https://t.co/H7hDHdXB1M
276,FiredUpCarol,RT @MitchAmsterNYC: @ProjectLincoln @Travelers supports @JDVance1 Don’t ever let them off the hook for that. Do any women work at @Traveler…
277,wanserjc,"@Travelers Your choice of candidates to back is disgusting. Vance is a ratsack, and by association, so are you."
278,LcspeechLinda,@AlanSchnitzer @Travelers And in the habit of supporting someone who wants women to stay in violent marriages. Do better Travelers! https://t.co/AQEy291UI9
279,connellyleea,RT @spottedcatbelly: @MitchAmsterNYC @ProjectLincoln @Travelers @JDVance1 Is this true @Travelers ? Our home insurance is through you and i…
280,connellyleea,RT @MitchAmsterNYC: @ProjectLincoln @Travelers supports @JDVance1 Don’t ever let them off the hook for that. Do any women work at @Traveler…
281,roberts23215778,RT @MitchAmsterNYC: @ProjectLincoln @Travelers supports @JDVance1 Don’t ever let them off the hook for that. Do any women work at @Traveler…
282,ATchelka,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/n1q3Rvmvil"
283,UnicornChettiar,RT @spottedcatbelly: @MitchAmsterNYC @ProjectLincoln @Travelers @JDVance1 Is this true @Travelers ? Our home insurance is through you and i…
284,UnicornChettiar,RT @MitchAmsterNYC: @ProjectLincoln @Travelers supports @JDVance1 Don’t ever let them off the hook for that. Do any women work at @Traveler…
285,bethl722,"RT @ConnieGidice: These companies support #JDVance, the guy who said women should be forced to stay in abusive marriages.  #deadlinewh @API…"
286,bethl722,RT @Chef29Brix: Y’all better pull your support for #JDVance and do it quick! @exxonmobil @APIenergy @Phillips66Co @Travelers @MarathonOil @…
287,bethl722,"RT @gapeech10: Just so, we're clear here, these are donors for the man who thinks women shud just stay married to their abusers amongst kno…"
288,caffenefiend,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/bf5qXt7XRl"
289,MichaelsonJules,"@NicolleDWallace Bad, bad business decision! @exxonmobil @XOMFoundation @generaldynamics @KochIndustries @Travelers"
290,follymeLRD,@exxonmobil @Travelers Time for me to change providers. #GOPWarOnWomen #GOPTraitorsToDemocracy https://t.co/kPPnY3PSk6
291,peffowlkes,"@Travelers, why encourage J.D. Vance's beliefs by donating to his campaign? Those beliefs actually result in you having to pay out claims. Plus, it's just wrong, inhumane, and abhorrent. https://t.co/EBSqzbC9sh"
292,AaronHRabbit,@NicolleDWallace I expect BS out of the oil companies but I'm surprised @Travelers is on here
293,d_royalti,"@Platoon19792 @PrinConsuella_ @Travelers It so is, it smacks of something more."
294,JBJN47,@Platoon19792 @PrinConsuella_ @Travelers Heard probably slept with the managing director and recorded it.
295,WilliamJorth,@Travelers break from @JDVance1 . You don’t want to support his attitudes of hate of women. They are half of your customer base. https://t.co/I9xZzkctfB
296,Platoon19792,@PrinConsuella_ @Travelers behavior is very suspicious in this case. Insurance try everything not to pay but they accommodate abuser and liar Amber Heard all the way.
297,CassandraCars20,RT @MitchAmsterNYC: @ProjectLincoln @Travelers supports @JDVance1 Don’t ever let them off the hook for that. Do any women work at @Traveler…
298,servusagogo,"@NicolleDWallace @KellyDem4Life Hey @Travelers , I’ve been a customer for 35 years!!!’ Come on, fix this!"
299,BWheelock01,"New report from @InsOurFuture shows insurance companies are investing billions of $$ in fossil fuels, driving the climate crisis.

Tell insurance companies @AIGinsurance @Chubb @Travelers to stop investing in fossil fuels!
@StopMoneyPipe 
https://t.co/mg8bMj6SpL"
